"brain__g1"	"heart__g2"	"kidney__g3"	"liver__g4"	"skeletal.muscle.organ__g5"
"ENSGALG00000009315"	55	32	1010	173	3
"ENSGALG00000009336"	682	161	210	74	98
"ENSGALG00000009349"	1946	2	0	0	2
"ENSGALG00000009355"	779	12	31	4	2
"ENSGALG00000009360"	155	63	356	24	24
"ENSGALG00000009361"	3230	628	158	24	111
"ENSGALG00000009368"	891	590	18	1	0
"ENSGALG00000009378"	155	660	196	5	46
"ENSGALG00000009381"	3843	278	790	197	285
"ENSGALG00000009387"	335	138	36	7	98
"ENSGALG00000009388"	842	20	50	1	4
"ENSGALG00000009395"	1132	4	0	0	0
"ENSGALG00000009400"	388	89	9	0	220
"ENSGALG00000009405"	4873	4	0	0	0
"ENSGALG00000009415"	669	54	30	113	9
"ENSGALG00000009424"	147	39	16	655	36
"ENSGALG00000009429"	374	27	13	8	23
"ENSGALG00000009433"	457	1710	720	177	3644
"ENSGALG00000009435"	0	1	0	0	6714
"ENSGALG00000009439"	614	2	17	0	0
"ENSGALG00000009446"	1	528	2	1	1017
"ENSGALG00000009450"	215	391	364	111	1418
"ENSGALG00000009452"	457	65	48	24	47
"ENSGALG00000009453"	1472	813	18112	4256	2650
"ENSGALG00000009458"	597	17	10	8	0
"ENSGALG00000009470"	2841	95	684	4	32
"ENSGALG00000009480"	1595	403	47	62	116
"ENSGALG00000009488"	258	1	8	6	2
"ENSGALG00000009493"	2089	106	328	713	26
"ENSGALG00000009499"	481	0	0	1	0
"ENSGALG00000009500"	1044	110	332	164	69
"ENSGALG00000009507"	125	16	1859	68	5
"ENSGALG00000009514"	2118	6	36	2	5
"ENSGALG00000009519"	447	11	3042	10	12
"ENSGALG00000009520"	2119	21	34	34	23
"ENSGALG00000009523"	5022	71	20	0	27
"ENSGALG00000009554"	2004	332	298	189	253
"ENSGALG00000009556"	591	224	121	24	45
"ENSGALG00000009560"	2368	114	459	2324	221
"ENSGALG00000009568"	905	8	8	0	5
"ENSGALG00000009576"	181	75	943	366	101
"ENSGALG00000009594"	170	591	3220	694	75
"ENSGALG00000009596"	218	40	1	0	449
"ENSGALG00000009601"	23890	12	263	279	26
"ENSGALG00000009612"	791	198	130	25	219
"ENSGALG00000009626"	166	1209	632	147	44
"ENSGALG00000009628"	133	498	171	56	38
"ENSGALG00000009638"	107	656	71	0	549
"ENSGALG00000009639"	64	26	12	528	11
"ENSGALG00000009641"	986	7483	1653	351	3152
"ENSGALG00000009652"	51	3	5	10	370
"ENSGALG00000009653"	918	101	141	83	70
"ENSGALG00000009654"	929	6847	277	89	12303
"ENSGALG00000009655"	148	186	930	273	62
"ENSGALG00000009667"	267	11	86	1	5
"ENSGALG00000009670"	988	190	71	24	45
"ENSGALG00000009674"	1588	232	412	182	262
"ENSGALG00000009680"	183	266	1155	305	118
"ENSGALG00000009682"	4	1	1848	4	1
"ENSGALG00000009686"	2522	532	362	88	179
"ENSGALG00000009687"	481	4	0	0	0
"ENSGALG00000009689"	597	183	1396	3335	720
"ENSGALG00000009691"	0	0	1	0	684
"ENSGALG00000009698"	656	107	90	33	47
"ENSGALG00000009700"	163	5297	5977	1294	16
"ENSGALG00000009705"	1245	184	61	11	14677
"ENSGALG00000009719"	1284	6	3	0	1
"ENSGALG00000009722"	4410	21	12	32	2
"ENSGALG00000009723"	229	34	649	5	81
"ENSGALG00000009725"	3079	40	26	14	12
"ENSGALG00000009730"	181	20	3	6466	274
"ENSGALG00000009737"	642	4	0	0	0
"ENSGALG00000009739"	293	14	166	7	3
"ENSGALG00000009740"	320	77	658	25	29
"ENSGALG00000009752"	696	250	1599	230	120
"ENSGALG00000009759"	238	511	156	8	4
"ENSGALG00000009791"	66	711	143	785	22
"ENSGALG00000009800"	1774	192	171	139	1999
"ENSGALG00000009805"	637	17	62	24	1
"ENSGALG00000009807"	254	26	41	27	13
"ENSGALG00000009813"	4100	630	1084	206	702
"ENSGALG00000009823"	394	113	67	56	14
"ENSGALG00000009826"	763	117	80	9	26
"ENSGALG00000009844"	37	120731	27	0	25292
"ENSGALG00000009847"	361	59	80	64	8
"ENSGALG00000009850"	3284	316	75	20	106
"ENSGALG00000009855"	3786	383	390	57	184
"ENSGALG00000009859"	1208	65	105	42	8
"ENSGALG00000009895"	757	4	352	9	5
"ENSGALG00000009920"	108	1	37	2020	1
"ENSGALG00000009926"	0	2	697	691	6
"ENSGALG00000009940"	2441	434	498	552	140
"ENSGALG00000009947"	61	133	493	38	24
"ENSGALG00000009954"	263	70	353	28	15
"ENSGALG00000009957"	225	2350	1189	294	163
"ENSGALG00000009959"	659	361	1379	71	26
"ENSGALG00000009973"	53	37	4545	451	63
"ENSGALG00000009988"	474	488	4269	847	118
"ENSGALG00000009990"	153	73	148	70	939
"ENSGALG00000009995"	1036	429	4	30	1156
"ENSGALG00000010000"	1689	90	65	154	104
"ENSGALG00000010010"	65	309	8	21	1209
"ENSGALG00000010013"	182	1422	195	25	116
"ENSGALG00000010023"	37987	3071	4536	1094	10406
"ENSGALG00000010027"	1074	2297	427	297	4495
"ENSGALG00000010029"	74	309	0	0	111
"ENSGALG00000010031"	111	117	590	56	76
"ENSGALG00000010036"	310	93	110	25	20
"ENSGALG00000010043"	71	30	365	128	34
"ENSGALG00000010050"	314	7	0	0	5
"ENSGALG00000010051"	249	107	3663	696	1025
"ENSGALG00000010053"	2581	470	3901	742	45
"ENSGALG00000010078"	279	29	79	14	6
"ENSGALG00000010087"	2320	575	664	165	300
"ENSGALG00000010098"	3860	98	114	56	17
"ENSGALG00000010106"	1318	219	485	200	185
"ENSGALG00000010117"	11	25	405	102	0
"ENSGALG00000010119"	318	17	1401	20	12
"ENSGALG00000010122"	89	14	678	95	14
"ENSGALG00000010125"	273	32	85	0	13
"ENSGALG00000010133"	251	9	274	14	4
"ENSGALG00000010139"	1570	12	134	954	0
"ENSGALG00000010145"	346	9	6	1	2
"ENSGALG00000010152"	0	0	889	42	0
"ENSGALG00000010165"	593	16	2	0	8
"ENSGALG00000010169"	1995	26	7	0	4
"ENSGALG00000010187"	306	1	564	25	0
"ENSGALG00000010200"	582	0	59	354	2
"ENSGALG00000010204"	1659	4	14	4	7
"ENSGALG00000010225"	12	643	277	1545	137
"ENSGALG00000010232"	3	2	261	1	5
"ENSGALG00000010233"	1281	17	2	0	6
"ENSGALG00000010234"	89	65	421	143	34
"ENSGALG00000010244"	786	358	6585	1099	447
"ENSGALG00000010246"	554	336	3575	295	205
"ENSGALG00000010253"	1194	168	200	102	108
"ENSGALG00000010258"	458	1827	209	11	491
"ENSGALG00000010259"	10	70	8	0	355
"ENSGALG00000010269"	4053	22	8	1	7
"ENSGALG00000010282"	4512	808	621	367	317
"ENSGALG00000010283"	283	157	1328	114	192
"ENSGALG00000010291"	45	369	2675	43	38
"ENSGALG00000010294"	3162	86	229	40	20
"ENSGALG00000010303"	32	116	3360	2996	47
"ENSGALG00000010311"	2314	92	48	41	111
"ENSGALG00000010313"	3827	1146	542	360	427
"ENSGALG00000010316"	684	710	2795	121	173
"ENSGALG00000010331"	19	2	3168	5	87
"ENSGALG00000010335"	947	175	83	50	77
"ENSGALG00000010337"	68	14	339	18	37
"ENSGALG00000010343"	2	0	3159	66	2
"ENSGALG00000010352"	264	880	106	190	18
"ENSGALG00000010357"	3966	45	211	100	1306
"ENSGALG00000010364"	103	23	2586	3401	36
"ENSGALG00000010379"	3623	13	1	0	9
"ENSGALG00000010385"	239	208	1058	109	166
"ENSGALG00000010386"	301	6	10	1	0
"ENSGALG00000010402"	85	23	11381	5092	17
"ENSGALG00000010406"	6297	344	246	157	88
"ENSGALG00000010413"	297	5	5	13	3
"ENSGALG00000010417"	8	27	18929	18	3
"ENSGALG00000010427"	3	2	4	4627	8
"ENSGALG00000010432"	129	73	497	1791	51
"ENSGALG00000010448"	335	2202	724	134	111
"ENSGALG00000010468"	47	35	464	12	12
"ENSGALG00000010469"	3	35	38213	2049	10
"ENSGALG00000010470"	353	2	52	0	11
"ENSGALG00000010473"	1	3	18390	48	5
"ENSGALG00000010486"	518	1	10	0	0
"ENSGALG00000010494"	22	2	885	7	0
"ENSGALG00000010497"	518	79	94	37	18
"ENSGALG00000010533"	2879	33	4	0	10
"ENSGALG00000010540"	81	9	723	14	1
"ENSGALG00000010542"	1921	225	249	61	66
"ENSGALG00000010551"	360	460	127	50	1639
"ENSGALG00000010554"	106	90	696	245	72
"ENSGALG00000010567"	670	29	28	7	21
"ENSGALG00000010571"	1603	344	538	161	173
"ENSGALG00000010579"	937	73	203	159	157
"ENSGALG00000010583"	514	18	3	0	12
"ENSGALG00000010589"	500	21	66	12	213
"ENSGALG00000010594"	1436	135	213	44	287
"ENSGALG00000010610"	1491	265	420	122	83
"ENSGALG00000010614"	198	21950	2351	581	24275
"ENSGALG00000010639"	429	98	5	4	4
"ENSGALG00000010643"	2527	124	593	372	366
"ENSGALG00000010645"	242	31	2860	85	19
"ENSGALG00000010646"	745	123	163	9	71
"ENSGALG00000010647"	168	359	2426	262	199
"ENSGALG00000010652"	1279	597	6755	7224	844
"ENSGALG00000010664"	314	307	65	1	1
"ENSGALG00000010668"	126	204	958	378	83
"ENSGALG00000010680"	1075	124	146	64	109
"ENSGALG00000010692"	841	7	2	3	11
"ENSGALG00000010705"	1942	176	72	25	1196
"ENSGALG00000010708"	509	103	211	9	10
"ENSGALG00000010711"	376	0	0	0	0
"ENSGALG00000010713"	387	110	98	35	47
"ENSGALG00000010718"	532	87	9	62	4
"ENSGALG00000010722"	658	0	54	2	6
"ENSGALG00000010733"	1532	379	106	73	687
"ENSGALG00000010736"	9	1	869	678	2
"ENSGALG00000010769"	1	132	355	680	36
"ENSGALG00000010770"	1273	68	3517	141	35
"ENSGALG00000010789"	73	77	458	103	90
"ENSGALG00000010792"	45	7	0	760	0
"ENSGALG00000010793"	509	4	7	10	3
"ENSGALG00000010794"	17	489	17	5	107
"ENSGALG00000010798"	4257	72	562	1327	201
"ENSGALG00000010809"	1256	1684	739	218	6022
"ENSGALG00000010811"	1186	674	12816	1382	468
"ENSGALG00000010812"	2652	13737	30	7	6
"ENSGALG00000010820"	4673	16	19	11	5
"ENSGALG00000010825"	4	0	721	8	0
"ENSGALG00000010826"	266	1103	19	14	1967
"ENSGALG00000010835"	752	244	4426	808	423
"ENSGALG00000010843"	821	100	208	74	21
"ENSGALG00000010850"	4	6	3	8663	3
"ENSGALG00000010853"	87	4	175	9463	5
"ENSGALG00000010857"	495	22	2007	55	0
"ENSGALG00000010858"	96	30	19962	5	6
"ENSGALG00000010865"	975	1	0	0	0
"ENSGALG00000010874"	1377	35	108	6	11
"ENSGALG00000010875"	699	21	465	1	2
"ENSGALG00000010881"	28	1392	24	38	258
"ENSGALG00000010882"	3235	393	984	281	393
"ENSGALG00000010891"	54	48	1298	1164	12
"ENSGALG00000010901"	1201	5	2005	17	0
"ENSGALG00000010903"	508	788	98	10	18
"ENSGALG00000010921"	213	375	1013	111	85
"ENSGALG00000010926"	3	2	5587	319	4
"ENSGALG00000010930"	313	46	32	53	11
"ENSGALG00000010935"	4	0	698	0	1
"ENSGALG00000010939"	1755	33	71	10	18
"ENSGALG00000010940"	72	59	604	746	40
"ENSGALG00000010943"	1269	1	3	0	0
"ENSGALG00000010950"	733	5	9	6	4
"ENSGALG00000010958"	1806	5	20	28	8
"ENSGALG00000010963"	3323	57	39	115	57
"ENSGALG00000010969"	0	2	2	12369	4
"ENSGALG00000010971"	404	7	83	8	1
"ENSGALG00000010978"	12	8	43	2295	7
"ENSGALG00000010979"	108	62	2081	9185	21
"ENSGALG00000010983"	609	6	1	0	0
"ENSGALG00000010992"	790	8	10	0	1
"ENSGALG00000010997"	528	95	88	3	19
"ENSGALG00000011005"	812	32	168	237	49
"ENSGALG00000011009"	3713	3	0	0	2
"ENSGALG00000011013"	798	28	330	25	7
"ENSGALG00000011016"	1451	841	1152	2471	91355
"ENSGALG00000011035"	1554	172	17679	5048	58
"ENSGALG00000011040"	1163	1	6	0	0
"ENSGALG00000011041"	4549	97	284	148	28
"ENSGALG00000011046"	549	129	83	98	106
"ENSGALG00000011084"	203	6	6	10	277
"ENSGALG00000011086"	33	16301	164	11	1092832
"ENSGALG00000011094"	2963	1818	92	551	429
"ENSGALG00000011109"	5403	21	24	2	6
"ENSGALG00000011111"	564	3	0	0	3
"ENSGALG00000011113"	1512	6	1	0	0
"ENSGALG00000011117"	3524	7	12	5962	5
"ENSGALG00000011124"	458	628	2447	259	255
"ENSGALG00000011145"	457	67	12	0	30
"ENSGALG00000011162"	366	340	2630	668	199
"ENSGALG00000011164"	1066	141	222	84	145
"ENSGALG00000011176"	3120	39	106	6	23
"ENSGALG00000011178"	2868	328	914	332	268
"ENSGALG00000011200"	199	417	56	6	21
"ENSGALG00000011209"	2549	1089	263	207	207
"ENSGALG00000011211"	412	146	1303	487	67
"ENSGALG00000011219"	37	49	17	3203	5
"ENSGALG00000011224"	3344	378	384	125	257
"ENSGALG00000011225"	212	2	663	100	3
"ENSGALG00000011227"	54	2	261	22	0
"ENSGALG00000011235"	339	70	30	2	17
"ENSGALG00000011236"	555	0	10	0	58
"ENSGALG00000011238"	3411	982	419	38	138
"ENSGALG00000011241"	1397	120	115	270	27
"ENSGALG00000011242"	71	3214	18	3	432
"ENSGALG00000011244"	568	60	6	0	44
"ENSGALG00000011250"	523	13	1	0	5
"ENSGALG00000011254"	1617	54	78	121	279
"ENSGALG00000011266"	1799	669	357	56	228
"ENSGALG00000011271"	103	1592	187	127	486
"ENSGALG00000011274"	539	5415	1377	906	1531
"ENSGALG00000011283"	321	37	57	0	36
"ENSGALG00000011284"	2100	14	89	1	5
"ENSGALG00000011287"	7	2	126	5831	4
"ENSGALG00000011288"	697	34	573	5	17
"ENSGALG00000011294"	379	10	406	95	2
"ENSGALG00000011296"	41	33	293	85	19
"ENSGALG00000011306"	119	15391	1601	274	23360
"ENSGALG00000011309"	1150	73	105	192	16
"ENSGALG00000011314"	329	32	6	108	4
"ENSGALG00000011319"	2849	211	1084	18	50
"ENSGALG00000011324"	544	38	42	14	164
"ENSGALG00000011328"	138	119	1008	362	20
"ENSGALG00000011331"	573	270	17585	1598	271
"ENSGALG00000011341"	233	0	534	0	0
"ENSGALG00000011342"	151	964	208	97	72
"ENSGALG00000011350"	3078	95	4	0	35
"ENSGALG00000011353"	88	1195	301	56	3
"ENSGALG00000011356"	1139	207	4532	850	44
"ENSGALG00000011360"	19	588	22	354	2825
"ENSGALG00000011361"	296	288	11413	2328	173
"ENSGALG00000011391"	21	4	7827	353	4
"ENSGALG00000011394"	229	117	399	1087	15
"ENSGALG00000011404"	87	396	35	56	86
"ENSGALG00000011406"	52	142	327	1	11
"ENSGALG00000011414"	19	9	364	1097	3
"ENSGALG00000011421"	26	7	53	1889	4
"ENSGALG00000011443"	3	2	953	428	0
"ENSGALG00000011447"	99	21	17	6	3549
"ENSGALG00000011455"	3	3	4808	15970	1
"ENSGALG00000011456"	2098	366	124	123	377
"ENSGALG00000011469"	2018	65	1363	391	46
"ENSGALG00000011481"	251	644	85	23	83
"ENSGALG00000011484"	27	174	552	1	28
"ENSGALG00000011488"	76	2847	158	127	27
"ENSGALG00000011493"	511	40	285	37	45
"ENSGALG00000011497"	100	198	2264	373	150
"ENSGALG00000011511"	18239	20087	5603	127	239
"ENSGALG00000011518"	900	95	127	39	249
"ENSGALG00000011528"	3376	288	130	68	150
"ENSGALG00000011529"	648	100	123	149	98
"ENSGALG00000011537"	610	61	20	4	34
"ENSGALG00000011541"	1885	995	159	100	9524
"ENSGALG00000011544"	7	0	30	409	0
"ENSGALG00000011548"	898	4000	489	201	206
"ENSGALG00000011549"	2254	49	18	2	5
"ENSGALG00000011551"	654	70	358	109	12
"ENSGALG00000011560"	277	35	9	45	11
"ENSGALG00000011571"	285	40	41	63	9
"ENSGALG00000011572"	417	75	1576	510	9
"ENSGALG00000011577"	897	17	6	0	4
"ENSGALG00000011579"	2	8	2536	255	0
"ENSGALG00000011581"	124	429	56	36	31
"ENSGALG00000011590"	417	6	2	2	0
"ENSGALG00000011592"	3471	443	454	181	716
"ENSGALG00000011594"	1	1	282	668	2
"ENSGALG00000011612"	2	12	21	46762	20
"ENSGALG00000011615"	14	6	3270	4	0
"ENSGALG00000011618"	302	394	705	49	2728
"ENSGALG00000011633"	4	0	1522	1	1
"ENSGALG00000011635"	17	6	710	71	14
"ENSGALG00000011639"	2308	891	541	302	152
"ENSGALG00000011659"	543	50	2342	2466	163
"ENSGALG00000011663"	302	1304	52	16	132
"ENSGALG00000011664"	0	117	475	35	2
"ENSGALG00000011671"	708	0	812	0	1
"ENSGALG00000011680"	6053	364	72	10	13
"ENSGALG00000011681"	16	36	311	158	21
"ENSGALG00000011688"	1360	179	348	142	223
"ENSGALG00000011721"	1674	6	6	36	7
"ENSGALG00000011740"	101	8967	1204	176	1718
"ENSGALG00000011770"	217	169	926	147	104
"ENSGALG00000011797"	508	299	2453	4575	225
"ENSGALG00000011798"	1333	336	206	1679	42
"ENSGALG00000011800"	2965	301	263	657	96
"ENSGALG00000011801"	18	3	903	145	20
"ENSGALG00000011805"	15	27	505	569	7
"ENSGALG00000011806"	12	9	735	28	8
"ENSGALG00000011809"	8153	18	4	0	6
"ENSGALG00000011812"	184	258	3156	1186	37
"ENSGALG00000011855"	158	418	65	23	59
"ENSGALG00000011858"	540	5	1	0	1
"ENSGALG00000011861"	505	6	48	0	0
"ENSGALG00000011865"	242	3326	630	305	781
"ENSGALG00000011875"	336	7	45	3	2
"ENSGALG00000011880"	530	173	141	46	46
"ENSGALG00000011885"	719	1102	542	3902	404
"ENSGALG00000011900"	196	220	1436	524	54
"ENSGALG00000011902"	64	316	1203	114	85
"ENSGALG00000011913"	1476	1	2	0	6
"ENSGALG00000011921"	142	446	2196	14378	37
"ENSGALG00000011962"	165	14	284	7	4
"ENSGALG00000011991"	8	5147	0	0	24
"ENSGALG00000011994"	81	415	109	42	5573
"ENSGALG00000012004"	339	23	7	3	2
"ENSGALG00000012006"	14720	60	4	2	24
"ENSGALG00000012010"	496	12	20	1	5
"ENSGALG00000012011"	145	86	1503	93	56
"ENSGALG00000012013"	335	87	918	105	153
"ENSGALG00000012015"	461	2	4	4	0
"ENSGALG00000012018"	617	6	306	146	12
"ENSGALG00000012020"	2784	12	6	0	14
"ENSGALG00000012023"	803	263	337	43	32
"ENSGALG00000012034"	342	642	1503	10564	6708
"ENSGALG00000012044"	12286	2046	57	9	1007
"ENSGALG00000012089"	1745	1	88	2	1
"ENSGALG00000012095"	0	0	860	2	0
"ENSGALG00000012117"	156	413	40	893	70
"ENSGALG00000012119"	60	460	281	6403	32
"ENSGALG00000012126"	31	22	84	4961	10
"ENSGALG00000012136"	425	75	51	5	69
"ENSGALG00000012142"	497	2	2	0	0
"ENSGALG00000012155"	581	1	0	0	340
"ENSGALG00000012156"	672	23	71	16	10
"ENSGALG00000012173"	39	24	2084	507	1
"ENSGALG00000012177"	519	145	248	17	26
"ENSGALG00000012186"	17	56	748	111	21
"ENSGALG00000012190"	1532	500	79	3	3
"ENSGALG00000012197"	11	22	1626	145	2
"ENSGALG00000012200"	43	18	109	1264	53
"ENSGALG00000012211"	193	6412	542	196	24508
"ENSGALG00000012218"	589	54	128	15	32
"ENSGALG00000012219"	672	38	98	46	0
"ENSGALG00000012222"	3250	344	1435	511	516
"ENSGALG00000012228"	1666	34	710	2	2
"ENSGALG00000012254"	1647	34	15	24	11
"ENSGALG00000012269"	33	20	342	84	16
"ENSGALG00000012282"	321	224	2961	565	169
"ENSGALG00000012285"	11	13	622	125	13
"ENSGALG00000012290"	703	70	12	9	27
"ENSGALG00000012297"	1141	1	7	0	0
"ENSGALG00000012322"	1319	0	1	0	0
"ENSGALG00000012336"	1647	166	166	129	128
"ENSGALG00000012338"	101	266	2643	353	126
"ENSGALG00000012339"	2162	132	101	36	19
"ENSGALG00000012357"	293	51	12	15	20
"ENSGALG00000012365"	322	306	2383	3791	95
"ENSGALG00000012367"	9249	37	67	98	9
"ENSGALG00000012377"	26	217	720	3017	304
"ENSGALG00000012392"	8	7	19	1293	0
"ENSGALG00000012394"	30	532	172	61	125
"ENSGALG00000012401"	465	99	65	64	31
"ENSGALG00000012407"	1124	5	0	2	11
"ENSGALG00000012416"	38	7	505	13	0
"ENSGALG00000012418"	42	0	169	472	0
"ENSGALG00000012446"	1684	6	0	0	2
"ENSGALG00000012457"	521	1	2	8	0
"ENSGALG00000012462"	16444	103	64	47	95
"ENSGALG00000012464"	2246	24	197	22	6
"ENSGALG00000012483"	0	1	19	2565	0
"ENSGALG00000012488"	523	878	14247	2190	448
"ENSGALG00000012505"	886	4	39	14	26
"ENSGALG00000012522"	1897	17	0	0	12
"ENSGALG00000012536"	419	118	16	3	0
"ENSGALG00000012537"	1333	474	3	0	2
"ENSGALG00000012538"	311	21	12	5	11
"ENSGALG00000012541"	0	32338	10	1	20
"ENSGALG00000012542"	3104	187	38	22	28
"ENSGALG00000012543"	4862	263	474	83	4693
"ENSGALG00000012550"	227	88	1130	2956	43
"ENSGALG00000012552"	349	803	739	253	6776
"ENSGALG00000012559"	2002	101	220	51	226
"ENSGALG00000012561"	1888	361	650	150	374
"ENSGALG00000012570"	756	2837	526	604	339
"ENSGALG00000012577"	460	9	6	12	257
"ENSGALG00000012594"	4196	22	78	0	23
"ENSGALG00000012612"	5	87	495	5	18687
"ENSGALG00000012613"	17	8	8499	7776	36
"ENSGALG00000012639"	83	44	264	49	23
"ENSGALG00000012699"	128	94	839	95	92
"ENSGALG00000012710"	5897	45	390	8	14
"ENSGALG00000012712"	107	1822	46	6	2412
"ENSGALG00000012715"	4080	1578	61	12	6407
"ENSGALG00000012730"	548	141	36	49	61
"ENSGALG00000012732"	2152	6	44	15	3
"ENSGALG00000012748"	861	1	0	765	2
"ENSGALG00000012754"	1	1	84	2595	5
"ENSGALG00000012790"	637	4831	315	72	12
"ENSGALG00000012796"	1696	264	458	246	134
"ENSGALG00000012802"	80	479	34	37	117
"ENSGALG00000012816"	1009	49	153	498	98
"ENSGALG00000012821"	4349	63	573	19	81
"ENSGALG00000012834"	53	70	10	1119	27
"ENSGALG00000012845"	0	140	4	1	1153
"ENSGALG00000012847"	438	21	2501	5743	11
"ENSGALG00000012850"	41	65	739	31	256
"ENSGALG00000012860"	264	115	659	89	17
"ENSGALG00000012874"	945	108	340	99	17
"ENSGALG00000012886"	0	4	533	22	0
"ENSGALG00000012890"	1702	2	4	1	0
"ENSGALG00000012894"	50	576	0	402	1
"ENSGALG00000012906"	481	50	8	0	14
"ENSGALG00000012913"	110	1191	76	1	2
"ENSGALG00000012917"	532	7	165	4	6
"ENSGALG00000012923"	383	0	0	0	0
"ENSGALG00000012932"	349	32	428	37	19
"ENSGALG00000012934"	1054	67	99	8	0
"ENSGALG00000012938"	376	40	69	31	124
"ENSGALG00000012952"	3917	84	80	658	29
"ENSGALG00000012956"	732	629	140	42	46
"ENSGALG00000012965"	784	78	444	19	15
"ENSGALG00000012975"	1261	2	6	2	0
"ENSGALG00000012985"	141	1	1176	5	1
"ENSGALG00000012988"	75	267	1507	8	90
"ENSGALG00000012989"	693	146	16	1	3
"ENSGALG00000013001"	1614	19	88	12	4
"ENSGALG00000013022"	2726	2454	53	21	36
"ENSGALG00000013033"	4	3	2182	406	32
"ENSGALG00000013035"	0	4	700	0	391
"ENSGALG00000013042"	1286	2581	267	104	576
"ENSGALG00000013056"	23	2	1	3	1222
"ENSGALG00000013060"	911	17	64	0	19
"ENSGALG00000013069"	794	233	159	37	17587
"ENSGALG00000013073"	128	77	616	4	21
"ENSGALG00000013081"	353	1	7	7	0
"ENSGALG00000013085"	2251	9	462	2	7
"ENSGALG00000013091"	259	289	841	73	40
"ENSGALG00000013094"	83	3	773	202	0
"ENSGALG00000013095"	58	382	762	148	46
"ENSGALG00000013124"	887	8171	680	26	553
"ENSGALG00000013143"	257	820	157	15	28
"ENSGALG00000013155"	601	961	27	9	10
"ENSGALG00000013177"	163	200	1760	58	1032
"ENSGALG00000013180"	1	0	1797	0	1
"ENSGALG00000013189"	464	126	115	85	14
"ENSGALG00000013196"	190	52	435	44	17
"ENSGALG00000013200"	1578	3	6	2	10
"ENSGALG00000013205"	639	53	2245	57	42
"ENSGALG00000013207"	813	95	1393	23	57
"ENSGALG00000013209"	710	69	125	21	78
"ENSGALG00000013212"	1027	4	6	0	3
"ENSGALG00000013225"	935	202	3	0	1
"ENSGALG00000013239"	182	2701	322	13	73
"ENSGALG00000013244"	123	1453	74	21	1845
"ENSGALG00000013265"	0	0	34	541	0
"ENSGALG00000013268"	270	1	9	0	3
"ENSGALG00000013272"	788	71	152	77	9
"ENSGALG00000013297"	76	187	1521	1050	202
"ENSGALG00000013304"	7	0	979	0	0
"ENSGALG00000013311"	299	5	4	3	4
"ENSGALG00000013376"	56	1	771	936	2
"ENSGALG00000013403"	295	25	22	1	33
"ENSGALG00000013414"	47	546	40	17	4787
"ENSGALG00000013427"	2076	4898	1076	336	43
"ENSGALG00000013503"	148	27	579	118	2
"ENSGALG00000013505"	8993	1076	6809	436	584
"ENSGALG00000013528"	154	6	111	266	2
"ENSGALG00000013535"	63	112	585	1557	22
"ENSGALG00000013568"	420	292	36	21	57
"ENSGALG00000013605"	2025	349	1229	99	215
"ENSGALG00000013621"	2471	147	741	131	183
"ENSGALG00000013624"	1587	136	96	56	733
"ENSGALG00000013634"	0	267	0	0	244
"ENSGALG00000013640"	17982	37	223	112	205
"ENSGALG00000013642"	463	58	228	49	9
"ENSGALG00000013646"	146	185	124	111	1571
"ENSGALG00000013661"	480	48	67	27	70
"ENSGALG00000013674"	878	29	432	107	70
"ENSGALG00000013688"	382	54	77	29	174
"ENSGALG00000013695"	825	93	58	35	21
"ENSGALG00000013697"	3	20	510	6	0
"ENSGALG00000013708"	324	367	15519	5141	259
"ENSGALG00000013722"	99	210	1989	189	9
"ENSGALG00000013726"	993	211	414	5861	294
"ENSGALG00000013728"	68	86	216	3582	84
"ENSGALG00000013737"	1305	184	273	452	96
"ENSGALG00000013740"	650	68	4067	460	39
"ENSGALG00000013742"	788	1035	5581	93	76
"ENSGALG00000013747"	380	65	49	43	28
"ENSGALG00000013753"	456	8	21	1	2
"ENSGALG00000013771"	3850	9	505	7	2
"ENSGALG00000013785"	993	196	691	94	30
"ENSGALG00000013795"	4071	677	413	169	718
"ENSGALG00000013817"	2769	40	993	36	36
"ENSGALG00000013818"	87	279	543	10	2
"ENSGALG00000013822"	1	872	9	3	2110
"ENSGALG00000013828"	541	162	6292	703	98
"ENSGALG00000013846"	2425	382	154	3	7
"ENSGALG00000013869"	2	6	78	604	2
"ENSGALG00000013893"	405	58	102	69	66
"ENSGALG00000013900"	1623	6	2051	533	5
"ENSGALG00000013932"	1723	335	452	237	294
"ENSGALG00000013948"	2817	87	64	2	10
"ENSGALG00000013967"	25	25	165	2838	12
"ENSGALG00000013969"	2	4	936	1528	8
"ENSGALG00000013993"	101	92	172	4029	22
"ENSGALG00000013999"	68	494	24	8	1458
"ENSGALG00000014011"	886	57	63	50	9
"ENSGALG00000014042"	23	1075	103	14	2367
"ENSGALG00000014069"	894	207	125	32	44
"ENSGALG00000014106"	9334	2805	1762	559	1183
"ENSGALG00000014117"	683	2	3	0	0
"ENSGALG00000014124"	58	142	327	35	24
"ENSGALG00000014144"	62	756	17	0	0
"ENSGALG00000014179"	285	782	1	2	10
"ENSGALG00000014182"	515	155	55	6	34
"ENSGALG00000014186"	1622	100	51	27	229
"ENSGALG00000014189"	3484	107	44	29	84
"ENSGALG00000014201"	222	819	16	59	253
"ENSGALG00000014202"	573	1	133	0	0
"ENSGALG00000014206"	881	2	0	0	1
"ENSGALG00000014213"	505	16	403	55	96
"ENSGALG00000014221"	5	0	3	0	745
